DATE, DB, G1, G2, G3, G4, G5, G6, G7, KT
14/05/2023,67753,19470, 84443-50523, 48507-10048-72799-01556-83623-77648, 4096-6164-8307-8743, 6036-2853-0517-5167-2679-3096, 454-812-208, 76-52-85-51, 10RD-4RD-11RD-2RD-12RD-5RD
13/05/2023,19949,70603, 83105-86922, 04612-77933-98947-17393-21474-09615, 4996-8991-7581-3443, 2415-2468-9975-7844-5836-7768, 209-521-997, 68-90-08-10, 7RE-15RE-10RE-12RE-13RE-1RE
12/5/2023,84102,12141, 03914-59392, 89476-73718-53418-26470-04401-87540, 9810-7384-5603-4657, 1245-1444-2197-7581-5850-1090, 531-230-371, 43-75-65-00, 8RF-6RF-11RF-3RF-7RF-5RF
11/5/2023,63134,66488, 83106-50659, 64327-85253-06416-70969-92174-48990, 8984-4436-1466-5849, 8638-1964-7075-3741-1240-4458, 860-897-971, 55-78-73-80, 11RG-8RG-14RG-9RG-15RG-5RG
10/5/2023,97996,66184, 81579-19025, 25267-82002-34364-80746-09850-02979, 5509-2451-3535-0484, 9156-1859-0249-6927-7902-2659, 556-891-491, 05-43-19-84, 12RH-3RH-13RH-6RH-4RH-9RH
9/5/2023,58546,87138, 70752-46168, 96208-31488-86067-22183-37859-54970, 5523-1471-7978-9994, 2767-1142-9742-9327-1226-7965, 921-554-160, 30-25-64-14, 9RK-1RK-15RK-3RK-2RK-11RK
8/5/2023,44481,8861, 02832-00516, 79797-97171-25884-01962-05448-08284, 6836-5645-2536-8583, 3262-5900-6671-7555-0793-2640, 441-909-144, 21-92-26-62, 2RL-12RL-9RL-11RL-10RL-5RL
7/5/2023,88060,4143, 28610-84265, 13198-37540-14699-88940-74267-27235, 3713-8736-2531-9024, 3384-1936-9737-4003-8660-1216, 887-368-121, 95-86-64-42, 14RM-4RM-11RM-15RM-2RM-12RM
6/5/2023,2904,87627, 84022-69837, 43316-26074-17200-07162-44168-45606, 6611-3858-7560-8625, 7551-8919-0927-7435-4397-8312, 438-142-508, 16-26-19-62, 14RN-2RN-11RN-7RN-10RN-12RN
5/5/2023,82647,95546, 39378-98658, 97994-13760-07192-61645-91254-34455, 5511-4527-0642-4236, 0155-7861-2259-0242-1787-5726, 432-624-534, 16-14-72-39, 13RP-6RP-15RP-2RP-7RP-3RP
